日期,day_of_week,day_of_month,month,quarter,is_weekend,is_month_start,is_month_end,equip_capacity_utilization_mean,equip_capacity_utilization_std,equip_capacity_utilization_max,equip_capacity_utilization_min,equip_efficiency_gap_mean,equip_efficiency_gap_std,equip_efficiency_gap_max,equip_availability_ratio_mean,equip_availability_ratio_min,equip_is_downtime_sum,equip_output_per_hour_mean,equip_efficiency_trend_3d_mean,area_AREA_A_util,area_AREA_B_util,buffer_turnover,inventory_coverage,safety_stock_ratio,near_overflow,near_empty,buffer_depletion_rate,fill_to_pack_ratio,bottleneck_score_fill,bottleneck_score_ster,next_downtime,next_near_empty,is_bottleneck_fill,is_bottleneck_ster,production_gap,filling_packaging_balance,bottleneck_severity,buffer_risk_score
2025-07-06,6.0,6.0,7.0,3.0,1,0,0,0.0,0.0,0.0,0.0,0.908,0.076485,0.98,0.9,0.0,25.0,0.0,0.212776,0.0,0.0,1.7762121609485888,0.5797756292833839,0.24930555545693478,0.0,0.0,-203.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.85,0.0,0.0,0.7506944445430652
2025-07-07,0.0,7.0,7.0,3.0,0,0,0,0.614678,0.691376,2.878434,0.302866,0.255863,0.663849,0.46656,0.8625,0.0,25.0,23318.449275,0.013586,0.45840484943977594,0.9467582165948275,0.7694744241990801,1.4254215304798963,0.48686342572920016,0.0,0.0,116.49999999999999,0.6516380506625442,1.5345942413621712,1.531196439113977,1.0,1.0,1.0,1.0,-0.23532200000000003,0.6516380506625442,1.5345942413621712,0.5131365742707998
2025-07-08,1.0,8.0,7.0,3.0,0,0,0,1.205918,0.856203,3.969867,0.749256,-0.421212,0.881696,0.217136,0.9,0.0,25.0,45071.947222,-0.362781,0.8955890231092437,1.8653665140086206,0.7694744241990801,1.4254215304798963,0.48686342572920016,0.0,0.0,116.49999999999999,1.8156187490164162,1.0022527372598982,0.5495384571781131,1.0,0.0,0.0,0.0,0.35591800000000007,1.8156187490164162,1.0022527372598982,0.5131365742707998
2025-07-09,2.0,9.0,7.0,3.0,0,0,0,0.703303,1.032058,3.973829,0.115451,0.18204,1.004049,0.691458,0.9375,0.9375,25.0,25755.149333,-0.241987,0.5260115765056023,1.0800457974137931,0.7694744241990801,1.4254215304798963,0.48686342572920016,0.0,0.0,116.49999999999999,0.17993601705726717,5.557531039937698,5.5454057874327125,1.0,0.0,1.0,1.0,-0.14669699999999997,0.17993601705726717,5.557531039937698,0.5131365742707998
2025-07-10,3.0,10.0,7.0,3.0,0,0,0,1.014258,1.004883,4.340253,0.638802,-0.180224,0.980824,0.146003,0.8625,0.0,25.0,32567.081159,-0.145363,0.7554784882703082,1.5641648706896554,0.7694744241990801,1.4254215304798963,0.48686342572920016,0.0,0.0,116.49999999999999,0.9115299378295397,1.0970566719735886,1.0946451178936736,1.0,0.0,0.0,0.0,0.16425800000000013,0.9115299378295397,1.0970566719735886,0.5131365742707998
2025-07-11,4.0,11.0,7.0,3.0,0,0,0,0.916459,0.925972,3.977234,0.558339,-0.073643,0.90131,0.215736,0.9375,0.9375,25.0,33939.234667,0.115856,0.6827628019957983,1.4130624551005746,0.0,656.0,0.2277777776986883,0.0,0.0,-188.33333333333334,0.8694070812865711,1.1502091730374335,1.1476464956225512,1.0,0.0,1.0,1.0,0.06645900000000005,0.8694070812865711,1.1502091730374335,0.7722222223013118
2025-07-12,5.0,12.0,7.0,3.0,1,0,0,0.18152,0.192828,0.378167,0.0,0.690176,0.307879,0.98,0.9375,0.9375,25.0,6970.368,0.169379,0.13347058823529412,0.283625,0.3581445523193096,2.789156626506024,0.3215277776661362,0.0,0.0,30.0,2613888000000.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.66848,2613888000000.0,0.0,0.6784722223338637
2025-07-13,6.0,13.0,7.0,3.0,1,0,0,0.0,0.0,0.0,0.0,0.908,0.076485,0.98,0.8625,0.0,25.0,0.0,0.362741,0.0,0.0,0.3581445523193096,2.789156626506024,0.3215277776661362,0.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.85,0.0,0.0,0.6784722223338637
2025-07-14,0.0,14.0,7.0,3.0,0,0,0,0.670724,0.667937,2.880749,0.418825,0.188679,0.645872,0.426425,0.75,0.0,25.0,26699.42,0.087441,0.4996262036064425,1.0343057201867816,0.6546227417640808,1.525974025974026,0.32638888877555944,0.0,0.0,-162.33333333333334,0.900377266944853,1.110645544608794,1.1081491025654913,1.0,0.0,1.0,1.0,-0.179276,0.900377266944853,1.110645544608794,0.6736111112244405
2025-07-15,1.0,15.0,7.0,3.0,0,0,0,0.783175,0.861357,3.609862,0.405469,0.075387,0.833712,0.343437,0.9,0.0,25.0,29125.2,-0.20493,0.5839310880602241,1.2065669899425289,0.6546227417640808,1.525974025974026,0.32638888877555944,0.0,0.0,-162.33333333333334,0.6956430871477647,1.4375187771929667,1.4343606405756386,1.0,0.0,1.0,1.0,-0.06682500000000002,0.6956430871477647,1.4375187771929667,0.6736111112244405
2025-07-16,2.0,16.0,7.0,3.0,0,0,0,0.749533,0.550083,2.542608,0.479862,0.084065,0.564457,0.491422,0.9375,0.9375,25.0,27981.189333,-0.274645,0.556811668417367,1.1590660021551724,0.6546227417640808,1.525974025974026,0.32638888877555944,0.0,0.0,-162.33333333333334,1.6998781417778122,1.002216533730797,0.5869764096035401,1.0,0.0,0.0,0.0,-0.10046699999999997,1.6998781417778122,1.002216533730797,0.6736111112244405
2025-07-17,3.0,17.0,7.0,3.0,0,0,0,1.299446,1.484553,6.152362,0.617453,-0.46864,1.455125,0.089056,0.9,0.0,25.0,48971.319444,-0.219106,0.969218181022409,2.0011802711925286,0.0,324.0,0.1124999999609375,0.0,0.0,-110.66666666666667,0.6215692776922206,1.608831124524763,1.6053260703251775,1.0,0.0,1.0,1.0,0.4494460000000001,0.6215692776922206,1.608831124524763,0.8875000000390625
2025-07-18,4.0,18.0,7.0,3.0,0,0,0,0.991104,1.012279,4.334544,0.592542,-0.152612,0.986651,0.147143,0.9,0.0,25.0,37273.941667,-0.075999,0.7384267113095238,1.5280422054597702,0.0,431.0,0.149652777725815,0.0,1.0,-40.666666666666664,0.8466764640762076,1.1810886949487016,1.178553325767306,1.0,0.0,1.0,1.0,0.141104,0.8466764640762076,1.1810886949487016,0.850347222274185
2025-07-19,5.0,19.0,7.0,3.0,1,0,0,0.056036,0.059527,0.116741,0.0,0.840757,0.147917,0.98,0.9,0.0,25.0,2241.433333,0.252231,0.04120281862745098,0.08755598958333334,0.13202933985330073,428.891975308642,0.41053240724198126,0.0,0.0,115.0,806916000000.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.793964,806916000000.0,0.0,0.5894675927580187
2025-07-20,6.0,20.0,7.0,3.0,1,0,0,0.0,0.0,0.0,0.0,0.908,0.076485,0.98,0.9375,0.9375,25.0,0.0,0.45888,0.0,0.0,0.13202933985330073,428.891975308642,0.41053240724198126,0.0,0.0,115.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.85,0.0,0.0,0.5894675927580187
2025-07-21,0.0,21.0,7.0,3.0,0,0,0,0.644403,0.680447,2.885779,0.362262,0.220415,0.655312,0.425439,0.8625,0.0,25.0,24455.17971,0.124342,0.4802900472689076,0.9931414780890804,0.6451147916567228,1.5496696055777637,0.5188078701594985,0.0,0.0,208.16666666666666,0.7773965936208471,1.2863447154323546,1.2834081680979523,1.0,0.0,1.0,1.0,-0.20559700000000003,0.7773965936208471,1.2863447154323546,0.4811921298405015
2025-07-22,1.0,22.0,7.0,3.0,0,0,0,0.808703,0.735076,3.250526,0.580734,0.03408,0.719033,0.35543,0.8625,0.0,25.0,30716.257971,-0.268892,0.6018892025560224,1.248182336566092,0.6451147916567228,1.5496696055777637,0.5188078701594985,0.0,0.0,208.16666666666666,1.1065356920450378,1.002150955290739,0.9017817216023807,1.0,0.0,0.0,0.0,-0.04129700000000003,1.1065356920450378,1.002150955290739,0.4811921298405015
2025-07-23,2.0,23.0,7.0,3.0,0,0,0,1.014087,1.003252,4.334973,0.640184,-0.18017,0.979278,0.146957,0.9375,0.9375,25.0,37575.421333,-0.362723,0.7553596157212885,1.5638812859195403,0.6451147916567228,1.5496696055777637,0.5188078701594985,0.0,0.0,208.16666666666666,0.914549183419402,1.0934349055571553,1.0909530768955376,1.0,0.0,0.0,0.0,0.16408699999999998,0.914549183419402,1.0934349055571553,0.4811921298405015
2025-07-24,3.0,24.0,7.0,3.0,0,0,0,0.960224,1.029854,4.347875,0.523611,-0.115155,1.002301,0.201667,0.9375,0.9375,25.0,35503.08,-0.111857,0.7157761073179272,1.4796771731321838,0.0,464.0,0.18368055548132878,0.0,0.0,11.0,0.7458180195829002,1.3408096529482745,1.3378059546222616,1.0,0.0,1.0,1.0,0.11022399999999999,0.7458180195829002,1.3408096529482745,0.8163194445186712
